Reviews,Delivery,Customer Service,Purchase Date,LikeliHood To Recommend,Overall Satisfaction,Location,Date Published
"A bit disappointed the fire was different from the one I was expecting, it didn't match the one on the box, or the website picture,  I think I may have received an older model somehow. The fire is just the right size and looks nice so I kept it, but I did wonder why it was different,",2,2,30 August 2017,80%,OverallSatisfied,Hockley,14 September 2017
sevice is good and goods work,2,2,30 August 2017,100%,OverallSatisfied,colchester,14 September 2017
Dishwasher very quiet fantastic quick wash 1/2 hour wash very well,2,2,29 August 2017,100%,OverallSatisfied,Garwick,26 September 2017
very good product  fast efficient service.,2,2,29 August 2017,100%,OverallSatisfied,bodenham,19 September 2017
nobody's perfect ...,2,2,29 August 2017,90%,OverallSatisfied,Gravesend,19 September 2017
Delivered on time & in good condition.,2,2,29 August 2017,70%,OverallSatisfied,Cambridgeshire,17 September 2017
"As you can see from  the above, I am very impressed with the service, an d have already recommended your firm to some of m y friends.",2,2,29 August 2017,100%,OverallSatisfied,Quarry B ank,15 September 2017
Brilliant all round experience and very reliable service!,2,2,29 August 2017,100%,OverallSatisfied,Bridgwater,14 September 2017
"Excellent, what else can I say, efficient delivery of my new freezer which is superb in every way, an up dated version of my old one, and very quiet.",2,2,29 August 2017,100%,OverallSatisfied,Barnsley.,14 September 2017
"Order went through online - no problem. 
They did exactly as ordered, kept to their promised time and kept me well informed.",2,2,29 August 2017,100%,OverallSatisfied,"Hayes, Middx",14 September 2017
"For the reasons previously stated - helpful, knowledgeable about the product, polite etc.",2,2,29 August 2017,100%,OverallSatisfied,"Consett, Co. Durham",14 September 2017
service i was given,2,2,29 August 2017,90%,OverallSatisfied,,14 September 2017
Good experience ordering from AO for the first time.,2,2,29 August 2017,80%,OverallSatisfied,Stowmarket,14 September 2017
Smooth process,2,2,29 August 2017,100%,OverallSatisfied,Peterborough,14 September 2017
See above,2,2,29 August 2017,100%,OverallSatisfied,Winchester,14 September 2017
We were very satisfied and I have already told a few people how good the experience was.,2,2,29 August 2017,100%,OverallSatisfied,PINNER,14 September 2017
quick delivery,2,2,29 August 2017,80%,OverallSatisfied,SHERINGHAM,13 September 2017
"Straight forward ordering, smashing delivery men and fitted cooker quickly. They also telephoned to give us just before delivery.",2,2,29 August 2017,100%,OverallSatisfied,Redruth,13 September 2017
Efficient and well priced,2,2,29 August 2017,100%,OverallSatisfied,Thames Ditton,13 September 2017
"Kept informed about delivery, and the guys couldn't be more helpful.",2,2,29 August 2017,70%,OverallSatisfied,Waltham cross,13 September 2017
"You say the slot time narrowing down the delivery time to a 4 hour window is texted to you in advance so you can get an idea of when it will be.   However, if the delivery is  scheduled for 1st delivery in the morning (8:00am) you do  not get the text before the delivery.
I originally ordered a delivery for a Thursday but then had a change of plans so that I could not be available for the whole day.  I phoned up to try to move the delivery to another day when I could be available the whole day, but they said they could not do this and to wait until I got the text confirming the time of delivery so that I could find out whether I would be available or not.  The delivery arrived before the text and I was not available.  They took it away again and I was able to arrange a new date when I could be in all day - this time I did receive the text in the morning giving the slot later in the day, and the item was delivered in that time slot.  So overall the service was OK, but there were a couple of things that could have been better.",2,2,28 August 2017,100%,OverallSatisfied,Romford,02 October 2017
Extremely satisfied in all dealings with AO.com.  Have purchased from AO before and the level of service is second to none. Well done.,2,2,28 August 2017,100%,OverallSatisfied,Northampton,19 September 2017
No hassle in regards to delivery and drivers very helpful - even took the packaging away without being asked. Would highly recommend ao in future and would definitely use again.,2,2,28 August 2017,90%,OverallSatisfied,Coventry,18 September 2017
Happy with the service and product arrived on the day as stated. App could be better at tracking where your product is. but other than that super happy with the service,2,2,28 August 2017,100%,OverallSatisfied,London,15 September 2017
First rate - no hassle.,2,2,28 August 2017,100%,OverallSatisfied,Woodchurch,14 September 2017
Because it was an easy process. Helpful staff on the phone. Kept informed from start to finish.,2,2,28 August 2017,90%,OverallSatisfied,Rosyth,13 September 2017
Excellent customer services,2,2,28 August 2017,100%,OverallSatisfied,,13 September 2017
I have not even fitted  my appliances  yet,2,2,28 August 2017,100%,OverallSatisfied,Sheffield,13 September 2017
No complaints and this isn't the first time I have bought from AO and no complaints the either,2,2,28 August 2017,100%,OverallSatisfied,Leeds,12 September 2017
Reviewer left no comment,2,2,09 December 2017,100%,OverallSatisfied,Dinas,23 December 2017
Reviewer left no comment,2,2,07 December 2017,100%,OverallSatisfied,London,06 January 2018
Reviewer left no comment,2,2,07 December 2017,0%,OverallUnhappy,,23 December 2017
Reviewer left no comment,2,2,07 December 2017,90%,OverallSatisfied,London,21 December 2017
Reviewer left no comment,2,2,30 November 2017,100%,OverallSatisfied,Hartlepool,15 December 2017
Reviewer left no comment,2,2,17 November 2017,100%,OverallSatisfied,Aberdeen,01 December 2017
Reviewer left no comment,2,2,09 October 2017,0%,OverallSatisfied,Rochester,24 October 2017
Reviewer left no comment,2,2,09 October 2017,100%,OverallSatisfied,,23 October 2017
Reviewer left no comment,2,2,03 October 2017,100%,OverallSatisfied,bristol,18 October 2017
Reviewer left no comment,2,2,02 October 2017,90%,OverallSatisfied,,16 October 2017
Reviewer left no comment,2,2,29 September 2017,100%,OverallSatisfied,BARNSLEY,16 October 2017
Reviewer left no comment,2,2,28 September 2017,80%,OverallSatisfied,,14 October 2017
Reviewer left no comment,2,2,26 September 2017,100%,OverallSatisfied,Newton Abbot,11 October 2017
Reviewer left no comment,2,2,24 September 2017,70%,OverallSatisfied,,08 October 2017
Reviewer left no comment,2,2,23 September 2017,90%,OverallSatisfied,Cheshunt,09 October 2017
Reviewer left no comment,2,2,23 September 2017,100%,OverallSatisfied,Brough Hull,07 October 2017
Reviewer left no comment,2,2,23 September 2017,100%,OverallSatisfied,,07 October 2017
Reviewer left no comment,2,2,23 September 2017,100%,OverallSatisfied,,07 October 2017
Reviewer left no comment,2,2,19 September 2017,80%,OverallSatisfied,Edinburgh,03 October 2017
Reviewer left no comment,2,2,19 September 2017,100%,OverallSatisfied,Waterlooville,03 October 2017
Reviewer left no comment,2,2,17 September 2017,100%,OverallSatisfied,rugeley staffs,02 October 2017
Reviewer left no comment,2,2,17 September 2017,100%,OverallSatisfied,,02 October 2017
Reviewer left no comment,2,2,16 September 2017,100%,OverallSatisfied,,30 September 2017
Reviewer left no comment,2,2,16 September 2017,100%,OverallSatisfied,Bromyard,30 September 2017
Reviewer left no comment,2,2,16 September 2017,100%,OverallSatisfied,,30 September 2017
Reviewer left no comment,2,2,14 September 2017,90%,OverallSatisfied,,29 September 2017
Reviewer left no comment,2,2,13 September 2017,90%,OverallSatisfied,,27 September 2017
Reviewer left no comment,2,2,11 September 2017,80%,OverallSatisfied,Brighton,26 September 2017
Reviewer left no comment,2,2,10 September 2017,100%,OverallSatisfied,,24 September 2017
Reviewer left no comment,2,2,09 September 2017,100%,OverallSatisfied,Darford,26 September 2017
Reviewer left no comment,2,2,08 September 2017,100%,OverallSatisfied,,26 September 2017
Reviewer left no comment,2,2,08 September 2017,100%,OverallSatisfied,middlesex,23 September 2017
Reviewer left no comment,2,2,05 September 2017,80%,OverallSatisfied,Ashton-Under-Lyne,26 September 2017
Reviewer left no comment,2,2,05 September 2017,90%,OverallSatisfied,,20 September 2017
Reviewer left no comment,2,2,05 September 2017,100%,OverallSatisfied,,19 September 2017
Reviewer left no comment,2,2,04 September 2017,80%,OverallSatisfied,London,20 September 2017
Reviewer left no comment,2,2,04 September 2017,100%,OverallSatisfied,Paignton,19 September 2017
Reviewer left no comment,2,2,04 September 2017,90%,OverallSatisfied,NORTHAMPTON,18 September 2017
Reviewer left no comment,2,2,03 September 2017,100%,OverallSatisfied,Swansea,18 September 2017
Reviewer left no comment,2,2,01 September 2017,100%,OverallSatisfied,Nottingham,17 September 2017
